name,Injured / Killed,Unharmed
00,0.30115,0.78952
01,0.32212,0.78279
02,0.34198,0.77325
03,0.35808,0.75626
04,0.38109,0.74644
05,0.33040,0.75990
06,0.29186,0.77891
07,0.28166,0.79252
08,0.23541,0.82329
09,0.20700,0.84181
10,0.20088,0.84736
11,0.20965,0.84230
12,0.21777,0.83740
13,0.22251,0.83467
14,0.23185,0.83008
15,0.25846,0.81070
16,0.23870,0.82317
17,0.25441,0.80967
18,0.27356,0.79536
19,0.28684,0.78553
20,0.31074,0.77251
21,0.32410,0.76781
22,0.33370,0.77112
23,0.34969,0.76043
