name,Pedestrians,Cyclists,Motorist
Jan,0.00070,0.00008,0.00036
Feb,0.00061,0.00005,0.00034
Mar,0.00056,0.00002,0.00035
Apr,0.00045,0.00012,0.00052
May,0.00050,0.00008,0.00043
Jun,0.00047,0.00015,0.00052
Jul,0.00059,0.00012,0.00056
Aug,0.00064,0.00011,0.00064
Sep,0.00068,0.00009,0.00057
Oct,0.00073,0.00007,0.00036
Nov,0.00083,0.00005,0.00042
Dec,0.00081,0.00002,0.00033
