name,Pedestrians,Cyclists,Motorist
Mon,10980,4134,38221
Tue,11889,4457,37931
Wed,11535,4557,37473
Thu,11618,4510,38327
Fri,12066,4666,41953
Sat,9333,3946,41371
Sun,7543,3540,40543
