name,Pedestrians,Cyclists,Motorist
2013,0.05884,0.02000,0.19175
2014,0.05357,0.01941,0.17557
2015,0.04632,0.01967,0.16993
2016,0.04834,0.02178,0.19353
2017,0.04828,0.02117,0.19316
2018,0.04803,0.02042,0.19900
