name,Pedestrians,Cyclists,Motorist
Jan,7178,1201,20129
Feb,6166,1124,18010
Mar,6299,1545,21936
Apr,4854,1959,20000
May,5394,2674,23145
Jun,5193,3118,23447
Jul,5453,3771,26705
Aug,5471,3919,25898
Sep,6126,3642,25554
Oct,7199,3032,25191
Nov,7427,2236,22788
Dec,8204,1589,23016
